id,fecha,produccion(Wh)
1,21/07/2015,35826.7188
1,22/07/2015,34872.1406
1,23/07/2015,27278.9883
1,24/07/2015,42802.4453
1,25/07/2015,49875.0039
1,26/07/2015,49738.9531
1,27/07/2015,46242.3789
1,28/07/2015,48993.6211
1,29/07/2015,44776.2656
1,30/07/2015,42166.5586
1,31/07/2015,46769.6641
1,01/08/2015,45449.7773
1,02/08/2015,48198.1406
1,03/08/2015,41177.7852
1,04/08/2015,37220.668
1,05/08/2015,36856.0508
1,06/08/2015,49881.2109
1,07/08/2015,40396.168
1,08/08/2015,36982.0625
1,09/08/2015,44231.9805
1,10/08/2015,47376.1094
1,11/08/2015,38491.918
1,12/08/2015,32773.1602
1,13/08/2015,32640.2812
1,14/08/2015,36428.0156
1,15/08/2015,51532.0664
1,16/08/2015,45741.957
1,17/08/2015,34218.0273
1,18/08/2015,34458.1055
1,19/08/2015,34378.5664
1,20/08/2015,33694.7266
1,21/08/2015,26634.5938
1,22/08/2015,34362.1016
1,23/08/2015,45805.9922
1,24/08/2015,48682.457
1,25/08/2015,38426.793
1,26/08/2015,33336.3867
1,27/08/2015,37921.2539
1,28/08/2015,18756.1191
1,29/08/2015,35768.8945
1,30/08/2015,33307.7461
1,31/08/2015,34114.2969
1,01/09/2015,38816.4531
1,02/09/2015,31655.3809
1,03/09/2015,18592.1035
1,04/09/2015,37291.1484
1,05/09/2015,42444.0742
1,06/09/2015,46160.0039
1,07/09/2015,53623.4414
1,08/09/2015,45679.6953
1,09/09/2015,37274.7305
1,10/09/2015,40782.0312
1,11/09/2015,45390.5938
1,12/09/2015,31090.8164
1,13/09/2015,24908.6953
1,14/09/2015,23354.2891
1,15/09/2015,38310.4688
1,16/09/2015,29841.8555
1,17/09/2015,31969.6914
1,18/09/2015,40823.2266
1,19/09/2015,48840.1211
1,20/09/2015,37202.9805
1,21/09/2015,32204.4512
1,22/09/2015,36672.7188
1,23/09/2015,42290.3555
1,24/09/2015,27503.1699
1,25/09/2015,23134.7949
1,26/09/2015,7180.2017
1,27/09/2015,31112.8066
1,28/09/2015,15489.1133
1,29/09/2015,25216.0859
1,30/09/2015,15772.21
1,01/10/2015,18452.5566
1,02/10/2015,48007.5586
1,03/10/2015,51084.5391
1,04/10/2015,47303.4062
1,05/10/2015,45665.8242
1,06/10/2015,43763.0156
1,07/10/2015,46251.207
1,08/10/2015,45407.7617
1,09/10/2015,34322.7695
1,10/10/2015,47096.8164
1,11/10/2015,38927.7891
1,12/10/2015,44024.3438
1,13/10/2015,39512.1016
1,14/10/2015,27245.1211
1,15/10/2015,34164.2344
1,16/10/2015,40377.3359
1,17/10/2015,11136.2871
1,18/10/2015,9641.9658
1,19/10/2015,25139.7051
1,20/10/2015,45234.2383
1,21/10/2015,24056.9707
1,22/10/2015,32856.4102
1,23/10/2015,40811.375
1,24/10/2015,33931.3203
1,25/10/2015,20310.4551
