,specific_prod(kWh/kWp),azimuth,tilt,lat,uvIndex,sunHour,cloudcover,maxtempC,mintempC,precipitation
243,3.550842911764706,180.0,15.0,19.354622,5.0,11.6,22.0,23.0,11.0,4.8
244,2.628675892156863,180.0,15.0,19.354622,5.0,11.6,20.0,22.0,11.0,9.1
245,2.4281943137254904,180.0,15.0,19.354622,5.0,11.6,26.0,22.0,12.0,8.4
246,2.8764922254901966,180.0,15.0,19.354622,5.0,11.6,27.0,21.0,11.0,12.9
247,3.6697855392156864,180.0,15.0,19.354622,5.0,11.6,24.0,21.0,10.0,8.5
248,2.224267960784314,180.0,15.0,19.354622,5.0,11.6,39.0,19.0,12.0,10.6
249,1.6767737058823529,180.0,15.0,19.354622,5.0,10.3,43.0,19.0,12.0,10.2
250,1.8514566078431376,180.0,15.0,19.354622,5.0,11.6,45.0,17.0,13.0,9.5
251,1.865362480392157,180.0,15.0,19.354622,5.0,11.6,49.0,18.0,13.0,12.0
252,2.278044,180.0,15.0,19.354622,5.0,11.6,38.0,20.0,11.0,8.8
253,2.821644450980392,180.0,15.0,19.354622,5.0,11.6,42.0,21.0,13.0,5.9
254,3.4343190882352945,180.0,15.0,19.354622,5.0,11.6,19.0,22.0,12.0,4.1
255,4.165763254901961,180.0,15.0,19.354622,5.0,11.6,9.0,23.0,10.0,3.2
256,4.3991957745098045,180.0,15.0,19.354622,5.0,11.6,13.0,21.0,9.0,3.9
257,3.9551451470588237,180.0,15.0,19.354622,5.0,11.6,14.0,21.0,9.0,5.7
258,4.131145833333333,180.0,15.0,19.354622,5.0,11.6,17.0,21.0,10.0,7.0
259,2.715050362745098,180.0,15.0,19.354622,5.0,11.6,16.0,21.0,10.0,1.9
260,2.913233950980392,180.0,15.0,19.354622,5.0,11.6,17.0,23.0,12.0,4.0
261,4.118423715686275,180.0,15.0,19.354622,5.0,11.6,20.0,24.0,12.0,5.5
262,3.832155715686275,180.0,15.0,19.354622,5.0,11.6,19.0,24.0,13.0,6.4
